DT_DAY;TX_PROV_DESCR_NL
10-Mar-17;Provincie Antwerpen
31-Jan-17;Provincie Antwerpen
07-Apr-17;Provincie Antwerpen
09-Feb-17;Provincie Antwerpen
08-Feb-17;Provincie Antwerpen
15-Apr-17;Provincie Antwerpen
02-Feb-17;Provincie Antwerpen
08-May-17;Provincie Antwerpen
22-Feb-17;Provincie Antwerpen
29-Apr-17;Provincie Antwerpen
31-Mar-17;Provincie Antwerpen
26-Jan-17;Provincie Antwerpen
18-Jan-17;Provincie Antwerpen
10-Mar-17;Provincie Antwerpen
18-Mar-17;Provincie Antwerpen
05-Apr-17;Provincie Antwerpen
30-Jan-17;Provincie Antwerpen
03-May-17;Provincie Antwerpen
28-Mar-17;Provincie Antwerpen
17-Jan-17;Provincie Antwerpen
02-Jan-17;Provincie Antwerpen
12-Apr-17;Provincie Antwerpen
28-Apr-17;Provincie Antwerpen
19-Apr-17;Provincie Antwerpen
23-Apr-17;Provincie Antwerpen
07-Apr-17;Provincie Antwerpen
16-Mar-17;Provincie Antwerpen
15-Mar-17;Provincie Antwerpen
08-Apr-17;Provincie Antwerpen
29-Apr-17;Provincie Antwerpen
08-Mar-17;Provincie Antwerpen
14-Feb-17;Provincie Antwerpen
28-Jan-17;Provincie Antwerpen
05-May-17;Provincie Antwerpen
09-Mar-17;Provincie Antwerpen
01-Feb-17;Provincie Antwerpen
29-Apr-17;Provincie Antwerpen
20-Apr-17;Provincie Antwerpen
23-Apr-17;Provincie Antwerpen
15-Mar-17;Provincie Antwerpen
02-Mar-17;Provincie Antwerpen
12-Mar-17;Provincie Antwerpen
13-Feb-17;Provincie Antwerpen
25-Mar-17;Provincie Antwerpen
17-Mar-17;Provincie Antwerpen
18-Mar-17;Provincie Antwerpen
25-Apr-17;Provincie Antwerpen
19-Jan-17;Provincie Antwerpen
08-Mar-17;Provincie Antwerpen
09-Mar-17;Provincie Antwerpen
28-Mar-17;Provincie Antwerpen
07-Mar-17;Provincie Antwerpen
22-Feb-17;Provincie Antwerpen
03-Mar-17;Provincie Antwerpen
29-Jan-17;Provincie Antwerpen
20-Jan-17;Provincie Antwerpen
24-Jan-17;Provincie Antwerpen
08-Feb-17;Provincie Antwerpen
24-Mar-17;Provincie Antwerpen
13-Feb-17;Provincie Antwerpen
31-Jan-17;Provincie Antwerpen
21-Jan-17;Provincie Antwerpen
18-Apr-17;Provincie Antwerpen
07-Apr-17;Provincie Antwerpen
06-May-17;Provincie Antwerpen
27-Apr-17;Provincie Antwerpen
21-Feb-17;Provincie Antwerpen
02-Feb-17;Provincie Antwerpen
23-Jan-17;Provincie Antwerpen
08-Feb-17;Provincie Antwerpen
24-Mar-17;Provincie Antwerpen
15-Apr-17;Provincie Antwerpen
28-Jan-17;Provincie Antwerpen
09-May-17;Provincie Antwerpen
27-Mar-17;Provincie Antwerpen
24-Jan-17;Provincie Antwerpen
16-Feb-17;Provincie Antwerpen
22-Feb-17;Provincie Antwerpen
18-Jan-17;Provincie Antwerpen
04-Mar-17;Provincie Antwerpen
15-Jan-17;Provincie Antwerpen
18-Feb-17;Provincie Antwerpen
09-Mar-17;Provincie Antwerpen
27-Apr-17;Provincie Antwerpen
09-Jan-17;Provincie Antwerpen
13-Jan-17;Provincie Antwerpen
18-Feb-17;Provincie Antwerpen
04-Jan-17;Provincie Antwerpen
07-Mar-17;Provincie Antwerpen
28-Feb-17;Provincie Antwerpen
07-Feb-17;Provincie Antwerpen
29-Mar-17;Provincie Antwerpen
19-Apr-17;Provincie Antwerpen
23-Feb-17;Provincie Antwerpen
02-Mar-17;Provincie Antwerpen
09-Jan-17;Provincie Antwerpen
06-May-17;Provincie Antwerpen
23-Feb-17;Provincie Antwerpen
13-Jan-17;Provincie Antwerpen
29-Mar-17;Provincie Antwerpen
01-May-17;Provincie Antwerpen
13-Jan-17;Provincie Antwerpen
04-Apr-17;Provincie Antwerpen
19-Feb-17;Provincie Antwerpen
16-Mar-17;Provincie Antwerpen
22-Feb-17;Provincie Antwerpen
06-Mar-17;Provincie Antwerpen
30-Mar-17;Provincie Antwerpen
20-Jan-17;Provincie Antwerpen
04-May-17;Provincie Antwerpen
25-Apr-17;Provincie Antwerpen
25-Mar-17;Provincie Antwerpen
07-Jan-17;Provincie Antwerpen
01-Feb-17;Provincie Antwerpen
26-Mar-17;Provincie Antwerpen
08-Mar-17;Provincie Antwerpen
03-Feb-17;Provincie Antwerpen
17-Mar-17;Provincie Antwerpen
03-Apr-17;Provincie Antwerpen
30-Jan-17;Provincie Antwerpen
15-Apr-17;Provincie Antwerpen
07-Feb-17;Provincie Antwerpen
08-Feb-17;Provincie Antwerpen
09-May-17;Provincie Antwerpen
20-Feb-17;Provincie Antwerpen
19-Jan-17;Provincie Antwerpen
08-Mar-17;Provincie Antwerpen
09-Mar-17;Provincie Antwerpen
13-Mar-17;Provincie Antwerpen
26-Jan-17;Provincie Antwerpen
28-Feb-17;Provincie Antwerpen
04-Feb-17;Provincie Antwerpen
04-Apr-17;Provincie Antwerpen
03-Apr-17;Provincie Antwerpen
05-May-17;Provincie Antwerpen
17-Mar-17;Provincie Antwerpen
27-Mar-17;Provincie Antwerpen
13-Feb-17;Provincie Antwerpen
14-Mar-17;Provincie Antwerpen
09-Apr-17;Provincie Antwerpen
22-Apr-17;Provincie Antwerpen
05-May-17;Provincie Antwerpen
25-Jan-17;Provincie Antwerpen
14-Jan-17;Provincie Antwerpen
28-Apr-17;Provincie Antwerpen
04-Apr-17;Provincie Antwerpen
29-Mar-17;Provincie Antwerpen
04-Jan-17;Provincie Antwerpen
08-Apr-17;Provincie Antwerpen
09-Apr-17;Provincie Antwerpen
13-Feb-17;Provincie Antwerpen
01-Apr-17;Provincie Antwerpen
17-Mar-17;Provincie Antwerpen
25-Mar-17;Provincie Antwerpen
05-Jan-17;Provincie Antwerpen
13-Apr-17;Provincie Antwerpen
20-Apr-17;Provincie Antwerpen
02-May-17;Provincie Antwerpen
04-May-17;Provincie Antwerpen
23-Mar-17;Provincie Antwerpen
14-Feb-17;Provincie Antwerpen
09-Mar-17;Provincie Antwerpen
20-Mar-17;Provincie Antwerpen
31-Jan-17;Provincie Antwerpen
13-Apr-17;Provincie Antwerpen
04-Mar-17;Provincie Antwerpen
18-Apr-17;Provincie Antwerpen
13-Mar-17;Provincie Antwerpen
09-Jan-17;Provincie Antwerpen
26-Mar-17;Provincie Antwerpen
28-Jan-17;Provincie Antwerpen
26-Mar-17;Provincie Antwerpen
05-Jan-17;Provincie Antwerpen
05-May-17;Provincie Antwerpen
08-Jan-17;Provincie Antwerpen
27-Mar-17;Provincie Antwerpen
07-Feb-17;Provincie Antwerpen
13-Apr-17;Provincie Antwerpen
18-Apr-17;Provincie Antwerpen
29-Mar-17;Provincie Antwerpen
23-Mar-17;Provincie Antwerpen
09-Mar-17;Provincie Antwerpen
19-Mar-17;Provincie Antwerpen
09-Jan-17;Provincie Antwerpen
03-May-17;Provincie Antwerpen
01-May-17;Provincie Antwerpen
27-Jan-17;Provincie Antwerpen
14-Mar-17;Provincie Antwerpen
12-Mar-17;Provincie Antwerpen
06-Jan-17;Provincie Antwerpen
21-Apr-17;Provincie Antwerpen
03-Jan-17;Provincie Antwerpen
14-Mar-17;Provincie Antwerpen
10-Feb-17;Provincie Antwerpen
03-Mar-17;Provincie Antwerpen
06-Mar-17;Provincie Antwerpen
12-Mar-17;Provincie Antwerpen
08-Jan-17;Provincie Antwerpen
28-Mar-17;Provincie Antwerpen
30-Apr-17;Provincie Antwerpen
04-Mar-17;Provincie Antwerpen
09-May-17;Provincie Antwerpen
24-Feb-17;Provincie Antwerpen
08-May-17;Provincie Antwerpen
03-Apr-17;Provincie Antwerpen
03-Jan-17;Provincie Antwerpen
25-Jan-17;Provincie Antwerpen
04-Mar-17;Provincie Antwerpen
31-Mar-17;Provincie Antwerpen
20-Feb-17;Provincie Antwerpen
23-Apr-17;Provincie Antwerpen
09-May-17;Provincie Antwerpen
24-Mar-17;Provincie Antwerpen
24-Apr-17;Provincie Antwerpen
29-Apr-17;Provincie Antwerpen
02-Mar-17;Provincie Antwerpen
10-Feb-17;Provincie Antwerpen
24-Mar-17;Provincie Antwerpen
13-Apr-17;Provincie Antwerpen
28-Mar-17;Provincie Antwerpen
24-Feb-17;Provincie Antwerpen
24-Mar-17;Provincie Antwerpen
13-Apr-17;Provincie Antwerpen
04-May-17;Provincie Antwerpen
24-Jan-17;Provincie Antwerpen
11-Jan-17;Provincie Antwerpen
28-Jan-17;Provincie Antwerpen
23-Mar-17;Provincie Antwerpen
23-Jan-17;Provincie Antwerpen
29-Apr-17;Provincie Antwerpen
11-Apr-17;Provincie Antwerpen
04-Mar-17;Provincie Antwerpen
07-Mar-17;Provincie Antwerpen
27-Mar-17;Provincie Antwerpen
29-Jan-17;Provincie Antwerpen
19-Feb-17;Provincie Antwerpen
06-Apr-17;Provincie Antwerpen
14-Jan-17;Provincie Antwerpen
16-Mar-17;Provincie Antwerpen
04-Apr-17;Provincie Antwerpen
23-Mar-17;Provincie Antwerpen
18-Feb-17;Provincie Antwerpen
28-Mar-17;Provincie Antwerpen
04-Feb-17;Provincie Antwerpen
10-Jan-17;Provincie Antwerpen
19-Mar-17;Provincie Antwerpen
18-Feb-17;Provincie Antwerpen
24-Jan-17;Provincie Antwerpen
23-Mar-17;Provincie Antwerpen
01-Apr-17;Provincie Antwerpen
12-Jan-17;Provincie Antwerpen
05-May-17;Provincie Antwerpen
22-Apr-17;Provincie Antwerpen
03-Jan-17;Provincie Antwerpen
21-Apr-17;Provincie Antwerpen
06-Mar-17;Provincie Antwerpen
14-Feb-17;Provincie Antwerpen
18-Feb-17;Provincie Antwerpen
19-Apr-17;Provincie Antwerpen
06-Feb-17;Provincie Antwerpen
03-Apr-17;Provincie Antwerpen
14-Feb-17;Provincie Antwerpen
15-Jan-17;Provincie Antwerpen
21-Mar-17;Provincie Antwerpen
27-Mar-17;Provincie Antwerpen
26-Jan-17;Provincie Antwerpen
14-Mar-17;Provincie Antwerpen
06-Mar-17;Provincie Antwerpen
06-Mar-17;Provincie Antwerpen
07-Feb-17;Provincie Antwerpen
11-Jan-17;Provincie Antwerpen
23-Jan-17;Provincie Antwerpen
05-Feb-17;Provincie Antwerpen
16-Mar-17;Provincie Antwerpen
07-Apr-17;Provincie Antwerpen
30-Mar-17;Provincie Antwerpen
09-Mar-17;Provincie Antwerpen
24-Jan-17;Provincie Antwerpen
20-Mar-17;Provincie Antwerpen
20-Apr-17;Provincie Antwerpen
12-Jan-17;Provincie Antwerpen
31-Mar-17;Provincie Antwerpen
11-Jan-17;Provincie Antwerpen
04-Apr-17;Provincie Antwerpen
22-Feb-17;Provincie Antwerpen
21-Apr-17;Provincie Antwerpen
10-Feb-17;Provincie Antwerpen
02-May-17;Provincie Antwerpen
05-Mar-17;Provincie Antwerpen
31-Mar-17;Provincie Antwerpen
21-Feb-17;Provincie Antwerpen
06-Apr-17;Provincie Antwerpen
15-Mar-17;Provincie Antwerpen
12-Apr-17;Provincie Antwerpen
14-Feb-17;Provincie Antwerpen
08-May-17;Provincie Antwerpen
30-Jan-17;Provincie Antwerpen
10-Jan-17;Provincie Antwerpen
05-Apr-17;Provincie Antwerpen
09-May-17;Provincie Antwerpen
21-Mar-17;Provincie Antwerpen
27-Apr-17;Provincie Antwerpen
04-Mar-17;Provincie Antwerpen
10-Apr-17;Provincie Antwerpen
29-Mar-17;Provincie Antwerpen
29-Mar-17;Provincie Antwerpen
10-Apr-17;Provincie Antwerpen
15-Apr-17;Provincie Antwerpen
11-Apr-17;Provincie Antwerpen
22-Feb-17;Provincie Antwerpen
05-Apr-17;Provincie Antwerpen
20-Feb-17;Provincie Antwerpen
08-May-17;Provincie Antwerpen
08-Feb-17;Provincie Antwerpen
15-Feb-17;Provincie Antwerpen
31-Jan-17;Provincie Antwerpen
07-Apr-17;Provincie Antwerpen
09-Mar-17;Provincie Antwerpen
21-Feb-17;Provincie Antwerpen
02-Jan-17;Provincie Antwerpen
28-Apr-17;Provincie Antwerpen
07-Mar-17;Provincie Antwerpen
22-Jan-17;Provincie Antwerpen
13-Feb-17;Provincie Antwerpen
01-Mar-17;Provincie Antwerpen
01-May-17;Provincie Antwerpen
30-Jan-17;Provincie Antwerpen
28-Feb-17;Provincie Antwerpen
09-May-17;Provincie Antwerpen
05-Mar-17;Provincie Antwerpen
17-Apr-17;Provincie Antwerpen
05-Jan-17;Provincie Antwerpen
03-Feb-17;Provincie Antwerpen
21-Jan-17;Provincie Antwerpen
02-May-17;Provincie Antwerpen
16-Mar-17;Provincie Antwerpen
10-Apr-17;Provincie Antwerpen
11-Feb-17;Provincie Antwerpen
