DT_DAY;TX_PROV_DESCR_NL
14-Jan-16;Provincie Antwerpen
24-May-16;Provincie Antwerpen
20-Apr-16;Provincie Antwerpen
27-Apr-16;Provincie Antwerpen
09-Mar-16;Provincie Antwerpen
09-Jan-16;Provincie Antwerpen
29-Feb-16;Provincie Antwerpen
12-Jan-16;Provincie Antwerpen
04-Jul-16;Provincie Antwerpen
26-Feb-16;Provincie Antwerpen
16-Jan-16;Provincie Antwerpen
24-Mar-16;Provincie Antwerpen
13-May-16;Provincie Antwerpen
30-Apr-16;Provincie Antwerpen
11-Jun-16;Provincie Antwerpen
24-Jun-16;Provincie Antwerpen
14-May-16;Provincie Antwerpen
19-May-16;Provincie Antwerpen
27-Apr-16;Provincie Antwerpen
03-Apr-16;Provincie Antwerpen
22-Feb-16;Provincie Antwerpen
03-Jun-16;Provincie Antwerpen
21-Jan-16;Provincie Antwerpen
10-Feb-16;Provincie Antwerpen
04-Mar-16;Provincie Antwerpen
19-Feb-16;Provincie Antwerpen
03-May-16;Provincie Antwerpen
26-Jan-16;Provincie Antwerpen
21-Jun-16;Provincie Antwerpen
14-Mar-16;Provincie Antwerpen
19-Apr-16;Provincie Antwerpen
21-Mar-16;Provincie Antwerpen
18-May-16;Provincie Antwerpen
27-Apr-16;Provincie Antwerpen
06-Jun-16;Provincie Antwerpen
13-Mar-16;Provincie Antwerpen
03-Jun-16;Provincie Antwerpen
12-Apr-16;Provincie Antwerpen
04-Mar-16;Provincie Antwerpen
24-Feb-16;Provincie Antwerpen
04-Apr-16;Provincie Antwerpen
23-Feb-16;Provincie Antwerpen
27-May-16;Provincie Antwerpen
05-Apr-16;Provincie Antwerpen
04-Jul-16;Provincie Antwerpen
06-Jan-16;Provincie Antwerpen
20-Apr-16;Provincie Antwerpen
23-Jun-16;Provincie Antwerpen
01-Feb-16;Provincie Antwerpen
03-Jan-16;Provincie Antwerpen
10-Jun-16;Provincie Antwerpen
25-May-16;Provincie Antwerpen
07-Feb-16;Provincie Antwerpen
07-May-16;Provincie Antwerpen
14-Apr-16;Provincie Antwerpen
02-Feb-16;Provincie Antwerpen
20-Jun-16;Provincie Antwerpen
07-May-16;Provincie Antwerpen
01-Feb-16;Provincie Antwerpen
27-May-16;Provincie Antwerpen
14-Jun-16;Provincie Antwerpen
01-Mar-16;Provincie Antwerpen
07-Apr-16;Provincie Antwerpen
12-Apr-16;Provincie Antwerpen
20-Jun-16;Provincie Antwerpen
23-Apr-16;Provincie Antwerpen
15-May-16;Provincie Antwerpen
30-May-16;Provincie Antwerpen
12-Feb-16;Provincie Antwerpen
18-May-16;Provincie Antwerpen
16-Mar-16;Provincie Antwerpen
14-Apr-16;Provincie Antwerpen
29-Mar-16;Provincie Antwerpen
09-Mar-16;Provincie Antwerpen
28-Apr-16;Provincie Antwerpen
25-Feb-16;Provincie Antwerpen
21-Jan-16;Provincie Antwerpen
29-Mar-16;Provincie Antwerpen
27-Mar-16;Provincie Antwerpen
07-Apr-16;Provincie Antwerpen
21-Jan-16;Provincie Antwerpen
23-Mar-16;Provincie Antwerpen
20-May-16;Provincie Antwerpen
24-May-16;Provincie Antwerpen
25-May-16;Provincie Antwerpen
27-Jun-16;Provincie Antwerpen
18-Jun-16;Provincie Antwerpen
03-Jun-16;Provincie Antwerpen
09-Mar-16;Provincie Antwerpen
11-Apr-16;Provincie Antwerpen
22-Jun-16;Provincie Antwerpen
20-Jun-16;Provincie Antwerpen
19-Jan-16;Provincie Antwerpen
14-Feb-16;Provincie Antwerpen
03-Jun-16;Provincie Antwerpen
25-May-16;Provincie Antwerpen
03-Apr-16;Provincie Antwerpen
07-Apr-16;Provincie Antwerpen
22-May-16;Provincie Antwerpen
12-Jun-16;Provincie Antwerpen
05-Apr-16;Provincie Antwerpen
24-May-16;Provincie Antwerpen
04-Mar-16;Provincie Antwerpen
29-May-16;Provincie Antwerpen
24-Feb-16;Provincie Antwerpen
30-Jun-16;Provincie Antwerpen
03-Feb-16;Provincie Antwerpen
25-Jan-16;Provincie Antwerpen
07-Mar-16;Provincie Antwerpen
14-Apr-16;Provincie Antwerpen
03-Jul-16;Provincie Antwerpen
18-May-16;Provincie Antwerpen
04-Mar-16;Provincie Antwerpen
13-Mar-16;Provincie Antwerpen
18-Jan-16;Provincie Antwerpen
08-Mar-16;Provincie Antwerpen
24-Feb-16;Provincie Antwerpen
15-Apr-16;Provincie Antwerpen
22-Apr-16;Provincie Antwerpen
02-Feb-16;Provincie Antwerpen
03-Jan-16;Provincie Antwerpen
05-Feb-16;Provincie Antwerpen
10-Jan-16;Provincie Antwerpen
01-Jan-16;Provincie Antwerpen
23-Mar-16;Provincie Antwerpen
08-Jan-16;Provincie Antwerpen
23-Apr-16;Provincie Antwerpen
09-May-16;Provincie Antwerpen
13-Feb-16;Provincie Antwerpen
13-Jun-16;Provincie Antwerpen
29-Jun-16;Provincie Antwerpen
02-Mar-16;Provincie Antwerpen
08-Jan-16;Provincie Antwerpen
14-Apr-16;Provincie Antwerpen
04-Mar-16;Provincie Antwerpen
23-Apr-16;Provincie Antwerpen
07-Mar-16;Provincie Antwerpen
23-Apr-16;Provincie Antwerpen
25-Feb-16;Provincie Antwerpen
04-May-16;Provincie Antwerpen
24-Mar-16;Provincie Antwerpen
15-May-16;Provincie Antwerpen
08-Mar-16;Provincie Antwerpen
15-Mar-16;Provincie Antwerpen
07-Apr-16;Provincie Antwerpen
12-Jan-16;Provincie Antwerpen
10-Feb-16;Provincie Antwerpen
02-Feb-16;Provincie Antwerpen
26-Jan-16;Provincie Antwerpen
26-Apr-16;Provincie Antwerpen
14-Jan-16;Provincie Antwerpen
02-Jul-16;Provincie Antwerpen
14-Jun-16;Provincie Antwerpen
05-May-16;Provincie Antwerpen
29-Mar-16;Provincie Antwerpen
08-Jan-16;Provincie Antwerpen
13-Jun-16;Provincie Antwerpen
05-Mar-16;Provincie Antwerpen
08-Jun-16;Provincie Antwerpen
03-Apr-16;Provincie Antwerpen
17-Mar-16;Provincie Antwerpen
28-Jan-16;Provincie Antwerpen
28-Apr-16;Provincie Antwerpen
29-Jan-16;Provincie Antwerpen
30-Mar-16;Provincie Antwerpen
03-Jun-16;Provincie Antwerpen
03-Apr-16;Provincie Antwerpen
10-Jun-16;Provincie Antwerpen
01-Mar-16;Provincie Antwerpen
15-Apr-16;Provincie Antwerpen
27-Feb-16;Provincie Antwerpen
25-Jan-16;Provincie Antwerpen
23-Jan-16;Provincie Antwerpen
24-Mar-16;Provincie Antwerpen
18-Jun-16;Provincie Antwerpen
02-May-16;Provincie Antwerpen
10-Jun-16;Provincie Antwerpen
12-Mar-16;Provincie Antwerpen
05-Jan-16;Provincie Antwerpen
01-Jul-16;Provincie Antwerpen
20-Jan-16;Provincie Antwerpen
18-Jan-16;Provincie Antwerpen
28-Mar-16;Provincie Antwerpen
25-May-16;Provincie Antwerpen
30-May-16;Provincie Antwerpen
01-May-16;Provincie Antwerpen
13-Jun-16;Provincie Antwerpen
12-Jan-16;Provincie Antwerpen
28-Apr-16;Provincie Antwerpen
18-Feb-16;Provincie Antwerpen
21-Jan-16;Provincie Antwerpen
03-May-16;Provincie Antwerpen
03-May-16;Provincie Antwerpen
12-Mar-16;Provincie Antwerpen
15-Apr-16;Provincie Antwerpen
25-Apr-16;Provincie Antwerpen
28-Feb-16;Provincie Antwerpen
13-Apr-16;Provincie Antwerpen
05-Jan-16;Provincie Antwerpen
14-Jan-16;Provincie Antwerpen
30-May-16;Provincie Antwerpen
17-Jun-16;Provincie Antwerpen
24-Jun-16;Provincie Antwerpen
04-Feb-16;Provincie Antwerpen
30-Jun-16;Provincie Antwerpen
26-Jan-16;Provincie Antwerpen
04-May-16;Provincie Antwerpen
01-Apr-16;Provincie Antwerpen
25-Mar-16;Provincie Antwerpen
06-Apr-16;Provincie Antwerpen
21-Apr-16;Provincie Antwerpen
27-Apr-16;Provincie Antwerpen
03-Mar-16;Provincie Antwerpen
22-May-16;Provincie Antwerpen
09-Apr-16;Provincie Antwerpen
05-May-16;Provincie Antwerpen
13-Mar-16;Provincie Antwerpen
19-Jan-16;Provincie Antwerpen
11-Feb-16;Provincie Antwerpen
13-Jan-16;Provincie Antwerpen
10-May-16;Provincie Antwerpen
11-May-16;Provincie Antwerpen
29-Jan-16;Provincie Antwerpen
04-Feb-16;Provincie Antwerpen
08-Feb-16;Provincie Antwerpen
08-Jan-16;Provincie Antwerpen
03-Apr-16;Provincie Antwerpen
12-Feb-16;Provincie Antwerpen
26-Mar-16;Provincie Antwerpen
18-Feb-16;Provincie Antwerpen
24-Jan-16;Provincie Antwerpen
29-May-16;Provincie Antwerpen
15-Jun-16;Provincie Antwerpen
16-Feb-16;Provincie Antwerpen
04-Jan-16;Provincie Antwerpen
23-Feb-16;Provincie Antwerpen
24-Jun-16;Provincie Antwerpen
29-Apr-16;Provincie Antwerpen
01-May-16;Provincie Antwerpen
26-Jan-16;Provincie Antwerpen
30-May-16;Provincie Antwerpen
07-Apr-16;Provincie Antwerpen
04-Mar-16;Provincie Antwerpen
04-Mar-16;Provincie Antwerpen
24-May-16;Provincie Antwerpen
24-May-16;Provincie Antwerpen
07-Jan-16;Provincie Antwerpen
26-Jan-16;Provincie Antwerpen
02-Jun-16;Provincie Antwerpen
17-May-16;Provincie Antwerpen
10-Jan-16;Provincie Antwerpen
20-Apr-16;Provincie Antwerpen
17-Feb-16;Provincie Antwerpen
11-May-16;Provincie Antwerpen
08-Jun-16;Provincie Antwerpen
14-Jan-16;Provincie Antwerpen
04-Jan-16;Provincie Antwerpen
24-Jan-16;Provincie Antwerpen
16-Feb-16;Provincie Antwerpen
16-Mar-16;Provincie Antwerpen
15-May-16;Provincie Antwerpen
05-Jul-16;Provincie Antwerpen
04-Jun-16;Provincie Antwerpen
21-Jun-16;Provincie Antwerpen
14-Apr-16;Provincie Antwerpen
04-Mar-16;Provincie Antwerpen
05-Feb-16;Provincie Antwerpen
30-Jun-16;Provincie Antwerpen
23-May-16;Provincie Antwerpen
22-Jan-16;Provincie Antwerpen
26-Jun-16;Provincie Antwerpen
24-Jun-16;Provincie Antwerpen
08-Mar-16;Provincie Antwerpen
27-Apr-16;Provincie Antwerpen
10-Jun-16;Provincie Antwerpen
14-Apr-16;Provincie Antwerpen
05-Jan-16;Provincie Antwerpen
05-Mar-16;Provincie Antwerpen
05-May-16;Provincie Antwerpen
29-Jun-16;Provincie Antwerpen
01-Jan-16;Provincie Antwerpen
22-Jun-16;Provincie Antwerpen
01-Mar-16;Provincie Antwerpen
05-Jan-16;Provincie Antwerpen
12-Mar-16;Provincie Antwerpen
18-Jun-16;Provincie Antwerpen
20-May-16;Provincie Antwerpen
13-May-16;Provincie Antwerpen
04-Mar-16;Provincie Antwerpen
02-May-16;Provincie Antwerpen
26-Apr-16;Provincie Antwerpen
07-Mar-16;Provincie Antwerpen
14-May-16;Provincie Antwerpen
01-May-16;Provincie Antwerpen
03-Mar-16;Provincie Antwerpen
08-Jun-16;Provincie Antwerpen
11-Mar-16;Provincie Antwerpen
18-Mar-16;Provincie Antwerpen
08-Mar-16;Provincie Antwerpen
02-Jul-16;Provincie Antwerpen
06-Feb-16;Provincie Antwerpen
13-Apr-16;Provincie Antwerpen
08-Jun-16;Provincie Antwerpen
01-Apr-16;Provincie Antwerpen
05-Jan-16;Provincie Antwerpen
12-May-16;Provincie Antwerpen
10-Jun-16;Provincie Antwerpen
22-Jun-16;Provincie Antwerpen
12-Mar-16;Provincie Antwerpen
20-Mar-16;Provincie Antwerpen
28-Jun-16;Provincie Antwerpen
24-Apr-16;Provincie Antwerpen
30-Jun-16;Provincie Antwerpen
16-Jun-16;Provincie Antwerpen
25-Apr-16;Provincie Antwerpen
15-Apr-16;Provincie Antwerpen
25-Jun-16;Provincie Antwerpen
22-Jun-16;Provincie Antwerpen
19-Feb-16;Provincie Antwerpen
24-Feb-16;Provincie Antwerpen
20-Jun-16;Provincie Antwerpen
13-May-16;Provincie Antwerpen
17-May-16;Provincie Antwerpen
24-May-16;Provincie Antwerpen
16-May-16;Provincie Antwerpen
20-Apr-16;Provincie Antwerpen
08-Mar-16;Provincie Antwerpen
13-Mar-16;Provincie Antwerpen
03-Jun-16;Provincie Antwerpen
03-Jul-16;Provincie Antwerpen
10-Apr-16;Provincie Antwerpen
12-Jan-16;Provincie Antwerpen
27-Jun-16;Provincie Antwerpen
24-Jun-16;Provincie Antwerpen
23-Feb-16;Provincie Antwerpen
16-Apr-16;Provincie Antwerpen
06-Jan-16;Provincie Antwerpen
17-Jun-16;Provincie Antwerpen
03-Jun-16;Provincie Antwerpen
14-Mar-16;Provincie Antwerpen
04-Feb-16;Provincie Antwerpen
20-Jan-16;Provincie Antwerpen
19-Apr-16;Provincie Antwerpen
19-May-16;Provincie Antwerpen
20-Jun-16;Provincie Antwerpen
27-Jun-16;Provincie Antwerpen
02-Feb-16;Provincie Antwerpen
01-Apr-16;Provincie Antwerpen
21-Apr-16;Provincie Antwerpen
22-Mar-16;Provincie Antwerpen
10-Apr-16;Provincie Antwerpen
24-Feb-16;Provincie Antwerpen
30-Jun-16;Provincie Antwerpen
22-Jan-16;Provincie Antwerpen
14-Mar-16;Provincie Antwerpen
16-Feb-16;Provincie Antwerpen
25-Mar-16;Provincie Antwerpen
18-Feb-16;Provincie Antwerpen
02-Jul-16;Provincie Antwerpen
28-Jun-16;Provincie Antwerpen
03-May-16;Provincie Antwerpen
17-Jun-16;Provincie Antwerpen
19-May-16;Provincie Antwerpen
08-May-16;Provincie Antwerpen
24-Feb-16;Provincie Antwerpen
27-Jan-16;Provincie Antwerpen
20-Jan-16;Provincie Antwerpen
14-May-16;Provincie Antwerpen
26-Jan-16;Provincie Antwerpen
13-Jun-16;Provincie Antwerpen
08-Apr-16;Provincie Antwerpen
17-Feb-16;Provincie Antwerpen
05-May-16;Provincie Antwerpen
12-Jan-16;Provincie Antwerpen
30-May-16;Provincie Antwerpen
30-Apr-16;Provincie Antwerpen
22-Feb-16;Provincie Antwerpen
19-Apr-16;Provincie Antwerpen
22-Jan-16;Provincie Antwerpen
04-Jul-16;Provincie Antwerpen
23-Jun-16;Provincie Antwerpen
10-Mar-16;Provincie Antwerpen
20-Jun-16;Provincie Antwerpen
08-May-16;Provincie Antwerpen
31-Mar-16;Provincie Antwerpen
18-Jan-16;Provincie Antwerpen
30-May-16;Provincie Antwerpen
10-Apr-16;Provincie Antwerpen
19-May-16;Provincie Antwerpen
25-Jan-16;Provincie Antwerpen
01-Jun-16;Provincie Antwerpen
09-Mar-16;Provincie Antwerpen
25-May-16;Provincie Antwerpen
06-Apr-16;Provincie Antwerpen
03-Jan-16;Provincie Antwerpen
02-May-16;Provincie Antwerpen
01-May-16;Provincie Antwerpen
31-Jan-16;Provincie Antwerpen
13-Apr-16;Provincie Antwerpen
07-Feb-16;Provincie Antwerpen
08-May-16;Provincie Antwerpen
14-Apr-16;Provincie Antwerpen
